Gen	t_n15	t_n16	t_n17	t_n18	t_n19	t_n20	t_n21	t_n22	t_n23	t_n24	t_n25	t_n26	t_n27	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
730	1.2759357	0.9079921	0.7823131	0.4835948	0.3905180	0.2447453	0.6842514	0.3153192	0.2073701	0.1888701	0.0773316	0.0572695	0.2023020	0.0283647	0.0233145	0.1257832	0.5196158	0.3466296	0.2946281	-155957.655
740	1.2755290	0.9254067	0.8283249	0.5216327	0.3868690	0.2433758	0.6864378	0.3146463	0.1969767	0.1722693	0.0662275	0.0548223	0.1827645	0.0283580	0.0233145	0.1531209	0.3498937	0.3310008	0.4798008	-155969.019
750	1.2694158	0.9210733	0.8264995	0.4579572	0.3997104	0.2512060	0.6973810	0.3293112	0.2032730	0.1862698	0.0579016	0.0540971	0.1914069	0.0379171	0.0222053	0.1531209	0.6142591	0.3364299	0.3058557	-155957.683
760	1.2625915	0.9079885	0.8289440	0.4781898	0.3876674	0.2544531	0.6732625	0.3351513	0.2062806	0.1894174	0.0647382	0.0582810	0.1946425	0.0346778	0.0222053	0.1801789	0.3751749	0.2441281	0.3496975	-155957.827
770	1.2454341	0.8852687	0.8140177	0.4780864	0.3738525	0.2492539	0.6478711	0.3412356	0.2032838	0.1852602	0.0615354	0.0511214	0.2001241	0.0370475	0.0225055	0.2008132	0.4614535	0.6164419	0.4349109	-155965.382
780	1.2070933	0.8836697	0.8339531	0.4723884	0.3571461	0.2414677	0.6421697	0.3302345	0.1931845	0.1718003	0.0642398	0.0450791	0.1894827	0.0405809	0.0253685	0.2299517	0.4050459	0.4412095	0.6512068	-155968.862
790	1.2184474	0.8750196	0.8218120	0.4706119	0.3620535	0.2255258	0.6637173	0.3330444	0.1946323	0.1648572	0.0580482	0.0470579	0.1897548	0.0329963	0.0192499	0.1684355	0.2864058	0.3676242	0.2629828	-155959.190
800	1.2062795	0.8847208	0.8218120	0.4737141	0.3639940	0.2119170	0.6564840	0.3171420	0.1966585	0.1745748	0.0661508	0.0488998	0.1871925	0.0329963	0.0280004	0.1483531	0.2864058	0.2707605	0.2660852	-155972.928
810	1.2030794	0.8917427	0.8334023	0.4476693	0.3487383	0.2109656	0.6362919	0.3072898	0.1977832	0.1802460	0.0635053	0.0469493	0.1932590	0.0461052	0.0260841	0.1513050	0.5704971	0.3365073	0.4011346	-155965.900
820	1.2297813	0.8981903	0.8427851	0.4232007	0.3195306	0.2341298	0.6622725	0.3011519	0.1994046	0.1829629	0.0571576	0.0517140	0.1945574	0.0339582	0.0292942	0.1513050	0.2372306	0.4419713	0.4782380	-155955.816
830	1.2397535	0.8925588	0.8261655	0.4385658	0.3512657	0.2418421	0.6541996	0.3279946	0.2028941	0.1873224	0.0604240	0.0504053	0.2002748	0.0382127	0.0192365	0.1453159	0.6512590	0.4116608	0.4573949	-155965.665
840	1.2614849	0.8947436	0.8414312	0.4623417	0.3741617	0.2310665	0.6679170	0.3098842	0.2020705	0.1894020	0.0605283	0.0553745	0.1977564	0.0390629	0.0197340	0.1941233	0.3331958	0.3466582	0.6171113	-155954.390
850	1.2842396	0.9003643	0.8324950	0.4654874	0.3698079	0.2315199	0.6742668	0.3255681	0.2078089	0.1932385	0.0600297	0.0528659	0.1967534	0.0290911	0.0225003	0.1540196	0.3818423	0.2831790	0.3802056	-155955.411
860	1.2834658	0.8791563	0.7969718	0.4682430	0.3805758	0.2668762	0.7320498	0.3199458	0.2036465	0.1832336	0.0569036	0.0541526	0.2003819	0.0318333	0.0225003	0.1695844	0.2897652	0.4131825	0.3648263	-155960.380
870	1.3037731	0.8691047	0.7949412	0.4577412	0.3689128	0.2808344	0.7581447	0.3404197	0.2090616	0.1705181	0.0632010	0.0556101	0.2012595	0.0318333	0.0237873	0.1446468	0.2985908	0.3008508	0.3648263	-155956.834
880	1.2825310	0.8903776	0.7901366	0.5199156	0.3457927	0.2908821	0.7377930	0.3293452	0.2070708	0.1538144	0.0633403	0.0579945	0.1991877	0.0374261	0.0216274	0.1698169	0.3623636	0.3506346	0.5226928	-155959.921
890	1.2698011	0.8845221	0.7790164	0.5259735	0.3457927	0.2723494	0.7397848	0.3142303	0.2088079	0.1762347	0.0653264	0.0605167	0.2055913	0.0374261	0.0215220	0.1840475	0.5154004	0.3898157	0.3737122	-155961.773
900	1.2301823	0.9068552	0.7871595	0.5330080	0.3333686	0.2702727	0.7547798	0.3126239	0.2160677	0.1749506	0.0621453	0.0566852	0.2090440	0.0356307	0.0305866	0.1891620	0.4701361	1.0913928	0.6600267	-155971.625
