Gen	t_n9	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
399000	0.4039865	0.2447532	0.1652135	0.1545651	0.1342158	0.0546587	0.0378087	0.0831617	0.0506791	0.2055702	0.1162768	0.1301988	0.2066981	-638245.648
400000	0.4023764	0.2797749	0.1712401	0.1546051	0.1347798	0.0438852	0.0366981	0.0636145	0.0662521	0.2591388	0.1055510	0.4003403	0.2748731	-638233.434
401000	0.3981373	0.2583293	0.1851985	0.1668256	0.1512985	0.0548808	0.0334218	0.0625426	0.0492411	0.2589848	0.3709308	0.1322327	0.3349903	-638241.831
402000	0.3875081	0.2791989	0.1869948	0.1711135	0.1557674	0.0510358	0.0313662	0.0949779	0.0500111	0.2102473	0.3426683	0.1580383	0.2392817	-638244.639
403000	0.4027882	0.2574206	0.1602106	0.1445558	0.1338446	0.0511878	0.0300228	0.0849450	0.0462047	0.2103260	0.3125166	0.2448041	0.1668431	-638245.132
404000	0.3901855	0.2934588	0.1800284	0.1575273	0.1451126	0.0630345	0.0431063	0.0539284	0.0457349	0.1975467	0.1669782	0.2083004	0.1989215	-638238.959
405000	0.3965241	0.2497785	0.1616460	0.1375322	0.1229993	0.0530251	0.0348326	0.0744151	0.0469085	0.2393260	0.2234160	0.1995847	0.2876797	-638244.540
406000	0.3997181	0.2661713	0.1613226	0.1472252	0.1284844	0.0496321	0.0332369	0.0729709	0.0422922	0.2172296	0.3108591	0.0675096	0.1405795	-638240.161
407000	0.3564587	0.2534196	0.1718174	0.1415675	0.1212956	0.0518849	0.0382784	0.0747282	0.0640490	0.2069732	0.1977625	0.2947656	0.6418560	-638244.171
408000	0.3657050	0.2473694	0.1349478	0.1249770	0.1144428	0.0397590	0.0274506	0.0875534	0.0590595	0.1936962	0.3072684	0.0887696	0.1969831	-638239.396
409000	0.4023381	0.2621971	0.1356934	0.1263651	0.1139500	0.0408211	0.0332777	0.0649845	0.0536536	0.2551635	0.3125498	0.1995431	0.2673968	-638245.122
410000	0.3848790	0.2486528	0.1284252	0.1169672	0.1050239	0.0379396	0.0261857	0.0740305	0.0618143	0.2364655	0.1675967	0.1023989	0.1989903	-638242.307
411000	0.3999267	0.2511867	0.1378488	0.1264700	0.1142977	0.0504301	0.0341421	0.0641620	0.0556275	0.2483575	0.0848535	0.1450849	0.1658824	-638239.355
412000	0.4091074	0.2487834	0.1473249	0.1326340	0.1186604	0.0492622	0.0317926	0.0780810	0.0508701	0.2262601	0.2809861	0.0753483	0.1655638	-638241.699
413000	0.4011302	0.2452928	0.1368958	0.1273481	0.1153535	0.0331327	0.0228224	0.0878085	0.0572624	0.2881988	0.1215519	0.1028908	0.1325761	-638249.177
414000	0.3974684	0.2450795	0.1382337	0.1259359	0.1126417	0.0403944	0.0312077	0.0686132	0.0538092	0.2248364	0.0912275	0.1076334	0.1172951	-638241.540
415000	0.3932735	0.2507971	0.1581302	0.1414119	0.1260406	0.0352657	0.0216032	0.0840730	0.0471093	0.2452699	0.1147702	0.1522520	0.2470427	-638242.726
416000	0.3869078	0.2654181	0.1771425	0.1595054	0.1440080	0.0460855	0.0338271	0.0718324	0.0379239	0.1809428	0.2039673	0.1178713	0.3222209	-638233.854
417000	0.4074179	0.2666055	0.1466389	0.1330053	0.1173161	0.0458207	0.0305277	0.0717425	0.0470924	0.2362492	0.1282910	0.0791686	0.1164034	-638247.129
418000	0.3861153	0.2478417	0.1393882	0.1232454	0.1138522	0.0464752	0.0309187	0.0787788	0.0497409	0.2159983	0.1512708	0.0901603	0.1367746	-638239.167
419000	0.3990323	0.2595605	0.1330445	0.1197824	0.0987509	0.0401674	0.0299448	0.0639298	0.0615169	0.2656161	0.0984754	0.1505804	0.1956251	-638232.887
420000	0.3996117	0.2762643	0.1442564	0.1327044	0.1214522	0.0494551	0.0378394	0.0865907	0.0549709	0.2547860	0.4113893	0.2541636	0.2140047	-638232.781
421000	0.4034045	0.2640370	0.1420669	0.1207686	0.1035843	0.0400133	0.0279009	0.0702146	0.0559014	0.2728621	0.1431705	0.2718997	0.1508725	-638240.794
422000	0.4079856	0.2653509	0.1453753	0.1299630	0.1151660	0.0469268	0.0343034	0.0835082	0.0523335	0.2137613	0.1768335	0.3131255	0.1396028	-638240.540
423000	0.4015100	0.2533726	0.1466699	0.1374876	0.1281369	0.0357910	0.0252691	0.0844257	0.0593931	0.2253080	0.1526970	0.1457433	0.2189559	-638242.368
424000	0.3833809	0.2601056	0.1443760	0.1319035	0.1188615	0.0471464	0.0306546	0.0925204	0.0485066	0.1961123	0.2713925	0.1215372	0.1258674	-638239.319
425000	0.3974988	0.2713858	0.1645274	0.1520093	0.1332779	0.0431669	0.0318447	0.0755654	0.0510088	0.2270579	0.2001460	0.1101734	0.1684841	-638236.718
426000	0.3871176	0.2688943	0.1775053	0.1580819	0.1475868	0.0557721	0.0354411	0.0638749	0.0437301	0.2151621	0.1379012	0.1262640	0.2798526	-638241.114
427000	0.3828940	0.2551314	0.1749917	0.1494036	0.1416825	0.0530442	0.0386494	0.0926199	0.0499675	0.2495373	0.2981545	0.2476665	0.1913356	-638235.958
428000	0.3944426	0.2613166	0.1489376	0.1344720	0.1189624	0.0567571	0.0441322	0.0858134	0.0504440	0.1947308	0.2453373	0.2575967	0.3178781	-638242.091
429000	0.4003476	0.2355731	0.1482411	0.1341666	0.1140157	0.0466659	0.0338044	0.0671625	0.0479496	0.1960006	0.0511979	0.0911282	0.1217095	-638240.898
430000	0.4046014	0.2439768	0.1469482	0.1363499	0.1268289	0.0518828	0.0335889	0.0845046	0.0554031	0.2318632	0.1968138	0.2037440	0.1968967	-638241.905
431000	0.3374843	0.2807053	0.1407616	0.1273829	0.1139762	0.0503670	0.0384449	0.1036192	0.0516768	0.2150447	0.2712987	0.1311847	0.2468012	-638234.478
432000	0.4137790	0.2654719	0.1680929	0.1555505	0.1340291	0.0458134	0.0307104	0.0655838	0.0541252	0.2101435	0.1658070	0.1712073	0.0922943	-638237.755
433000	0.3898168	0.2640800	0.1684666	0.1495802	0.1281551	0.0646403	0.0490891	0.0565548	0.0355475	0.1541400	0.1684497	0.1405923	0.2513019	-638247.078
434000	0.3805506	0.2538498	0.1653822	0.1461019	0.1156454	0.0386858	0.0236101	0.0673586	0.0537475	0.2150873	0.1080942	0.2615796	0.2298318	-638245.261
435000	0.3871010	0.2705466	0.1736983	0.1466661	0.1306219	0.0613903	0.0450818	0.0574033	0.0437554	0.1804842	0.1479383	0.1404797	0.1538649	-638236.236
436000	0.3531500	0.2442019	0.1631607	0.1546665	0.1429904	0.0496052	0.0289268	0.1270237	0.0550638	0.3146535	0.3330767	0.1342483	0.3666850	-638243.159
437000	0.4047659	0.2840727	0.1781156	0.1643505	0.1471737	0.0521825	0.0324138	0.0709310	0.0423516	0.1923559	0.2216819	0.1001141	0.1670715	-638234.512
438000	0.4010976	0.2613398	0.1679905	0.1492815	0.1346590	0.0533634	0.0408223	0.0581436	0.0447693	0.2041532	0.1673216	0.1737619	0.1511881	-638251.131
439000	0.3548917	0.2805386	0.1621734	0.1509041	0.1240610	0.0520976	0.0376761	0.0638154	0.0590663	0.2183671	0.3747829	0.2292613	0.3481722	-638237.352
440000	0.3964353	0.2581670	0.1281500	0.1142310	0.1020589	0.0501346	0.0345723	0.0675391	0.0552160	0.2936982	0.2063630	0.1373795	0.2965478	-638235.102
441000	0.3935911	0.2656723	0.1418379	0.1274551	0.1097427	0.0576398	0.0318272	0.0576261	0.0455527	0.2116767	0.1152998	0.0705755	0.1879008	-638237.052
442000	0.3974727	0.2472405	0.1197905	0.1078351	0.0945351	0.0401022	0.0294725	0.0884939	0.0576967	0.2404182	0.1291694	0.0980400	0.1758429	-638244.142
443000	0.3988119	0.2514637	0.1290065	0.1125625	0.1045656	0.0383286	0.0246291	0.0859831	0.0596073	0.2321945	0.2476203	0.1450729	0.4339899	-638243.664
444000	0.3843190	0.2425726	0.1390333	0.1256772	0.1144919	0.0444399	0.0336756	0.0658857	0.0577870	0.2289348	0.1665756	0.1586363	0.2190935	-638241.089
445000	0.4031824	0.2328474	0.1297444	0.1151127	0.1054410	0.0412111	0.0276390	0.0864695	0.0613092	0.2196042	0.0869055	0.1053220	0.1459306	-638239.424
446000	0.3978050	0.2452244	0.1234911	0.1101169	0.0989004	0.0470974	0.0302225	0.0876705	0.0601323	0.2751453	0.1772995	0.1659677	0.1916912	-638244.239
447000	0.4053441	0.2523041	0.1407233	0.1229642	0.1055887	0.0449226	0.0324308	0.0696599	0.0528191	0.2233918	0.1475748	0.1719106	0.0844222	-638239.500
448000	0.3801996	0.2519029	0.1248505	0.1082747	0.0927044	0.0421890	0.0260559	0.0785862	0.0582846	0.2270005	0.1270251	0.1406445	0.2343768	-638235.467
449000	0.3983697	0.2487631	0.1164059	0.1060743	0.0972614	0.0438241	0.0318526	0.0786750	0.0566646	0.2862915	0.1390182	0.1436544	0.1378189	-638241.905
450000	0.3909395	0.2565426	0.1389653	0.1283896	0.1091315	0.0489057	0.0324969	0.0775280	0.0569390	0.2395737	0.1568119	0.1437321	0.2591087	-638241.540
451000	0.4013831	0.2462526	0.1321974	0.1151253	0.0981403	0.0376950	0.0281644	0.0803142	0.0578159	0.2234277	0.0997890	0.1786176	0.1423961	-638237.204
452000	0.4002661	0.2535439	0.1231537	0.1063284	0.0948820	0.0438179	0.0359851	0.0909620	0.0520372	0.2372120	0.1818133	0.1057478	0.1066899	-638240.022
453000	0.3924249	0.2607387	0.1282682	0.1127452	0.0980526	0.0403236	0.0276282	0.0626927	0.0578266	0.2334920	0.2077169	0.1526249	0.1837040	-638241.609
454000	0.3997644	0.2506714	0.1318272	0.1215587	0.1069055	0.0417642	0.0274279	0.0797957	0.0458342	0.3302589	0.3297339	0.1090038	0.1706577	-638241.860
455000	0.3954171	0.2582071	0.1411249	0.1207921	0.1091002	0.0416602	0.0323206	0.0869972	0.0500556	0.3048721	0.2123931	0.2610269	0.2464519	-638245.561
